url,url length,indexed?,title,title length,description,description length,h1 count,h1,h1 length
https://www.movebubble.com/flat-to-rent/uk/london/parsons-green/13837,69,true,"2 Bedroom Flat in Parsons Green, London | Movebubble",52,"2 Bedroom Flat in Parsons Green, London available to rent.",58,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/12517,55,true,4 Bedroom Flat in London | Movebubble,37,4 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/house-to-rent/uk/london/west-kensington/13349,72,true,"4 Bedroom House in West Kensington, London | Movebubble",55,"4 Bedroom House in West Kensington, London available to rent.",61,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/12175,55,true,2 Bedroom Flat in London | Movebubble,37,2 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/12167,55,true,5 Bedroom Flat in London | Movebubble,37,5 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/12162,55,true,2 Bedroom Flat in London | Movebubble,37,2 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/12070,55,true,1 Bedroom Flat in London | Movebubble,37,1 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/11858,55,true,1 Bedroom Flat in London | Movebubble,37,1 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/house-to-rent/uk/london/14081,56,true,5 Bedroom House in London | Movebubble,38,5 Bedroom House in London available to rent.,44,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/13730,55,true,1 Bedroom Flat in London | Movebubble,37,1 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/clapham/13601,63,true,"1 Bedroom Flat in Clapham, London | Movebubble",46,"1 Bedroom Flat in Clapham, London available to rent.",52,0,,0
https://www.movebubble.com/Property/Search?location=Fulham%2C%20London&CurrentPage=2,84,true,"Properties in Fulham, London | Movebubble",41,"A great list of Properties in Fulham, London from private landlords",67,1,"Properties in Fulham, London",28
https://www.movebubble.com/Property/Search?location=Fulham%2C%20London&CurrentPage=2,84,true,"Properties in Fulham, London | Movebubble",41,"A great list of Properties in Fulham, London from private landlords",67,1,"Properties in Fulham, London",28
https://www.movebubble.com/flat-to-rent/uk/london/10666,55,true,1 Bedroom Flat in London | Movebubble,37,1 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/balham/12776,62,true,"2 Bedroom Flat in Balham, London | Movebubble",45,"2 Bedroom Flat in Balham, London available to rent.",51,0,,0
